athlete,age,country,year,date,sport,gold,silver,bronze,total,combined_text,clean_text,cluster
Feng Tian Wei,25.0,Singapore,2012,12/8/2012,Table Tennis,0,0,2,2,Feng Tian Wei 25.0 Singapore 12/8/2012 Table Tennis,feng tian wei singapore table tennis,1
Li Xiaoxia,24.0,China,2012,12/8/2012,Table Tennis,2,0,0,2,Li Xiaoxia 24.0 China 12/8/2012 Table Tennis,xiaoxia china table tennis,1
Dmitrij Ovtcharov,23.0,Germany,2012,12/8/2012,Table Tennis,0,0,2,2,Dmitrij Ovtcharov 23.0 Germany 12/8/2012 Table Tennis,dmitrij ovtcharov germany table tennis,1
Wang Hao,28.0,China,2012,12/8/2012,Table Tennis,1,1,0,2,Wang Hao 28.0 China 12/8/2012 Table Tennis,wang hao china table tennis,1
Zhang Jike,24.0,China,2012,12/8/2012,Table Tennis,2,0,0,2,Zhang Jike 24.0 China 12/8/2012 Table Tennis,zhang jike china table tennis,1
Guo Yue,20.0,China,2008,24/08/2008,Table Tennis,1,0,1,2,Guo Yue 20.0 China 24/08/2008 Table Tennis,guo yue china table tennis,1
Ma Lin,28.0,China,2008,24/08/2008,Table Tennis,2,0,0,2,Ma Lin 28.0 China 24/08/2008 Table Tennis,lin china table tennis,1
Wang Hao,24.0,China,2008,24/08/2008,Table Tennis,1,1,0,2,Wang Hao 24.0 China 24/08/2008 Table Tennis,wang hao china table tennis,1
Wang Liqin,30.0,China,2008,24/08/2008,Table Tennis,1,0,1,2,Wang Liqin 30.0 China 24/08/2008 Table Tennis,wang liqin china table tennis,1
Wang Nan,29.0,China,2008,24/08/2008,Table Tennis,1,1,0,2,Wang Nan 29.0 China 24/08/2008 Table Tennis,wang nan china table tennis,1
Zhang Yining,26.0,China,2008,24/08/2008,Table Tennis,2,0,0,2,Zhang Yining 26.0 China 24/08/2008 Table Tennis,zhang yining china table tennis,1
Zhang Yining,22.0,China,2004,29/08/2004,Table Tennis,2,0,0,2,Zhang Yining 22.0 China 29/08/2004 Table Tennis,zhang yining china table tennis,1
Kong Linghui,24.0,China,2000,1/10/2000,Table Tennis,1,1,0,2,Kong Linghui 24.0 China 1/10/2000 Table Tennis,kong linghui china table tennis,1
Li Ju,24.0,China,2000,1/10/2000,Table Tennis,1,1,0,2,Li Ju 24.0 China 1/10/2000 Table Tennis,china table tennis,1
Liu Guoliang,24.0,China,2000,1/10/2000,Table Tennis,0,1,1,2,Liu Guoliang 24.0 China 1/10/2000 Table Tennis,liu guoliang china table tennis,1
Wang Nan,21.0,China,2000,1/10/2000,Table Tennis,2,0,0,2,Wang Nan 21.0 China 1/10/2000 Table Tennis,wang nan china table tennis,1
Viktoriya Azarenko,22.0,Belarus,2012,12/8/2012,Tennis,1,0,1,2,Viktoriya Azarenko 22.0 Belarus 12/8/2012 Tennis,viktoriya azarenko belarus tennis,1
Mike Bryan,34.0,United States,2012,12/8/2012,Tennis,1,0,1,2,Mike Bryan 34.0 United States 12/8/2012 Tennis,mike bryan united state tennis,0
Andy Murray,25.0,Great Britain,2012,12/8/2012,Tennis,1,1,0,2,Andy Murray 25.0 Great Britain 12/8/2012 Tennis,andy murray great britain tennis,1
Serena Williams,30.0,United States,2012,12/8/2012,Tennis,2,0,0,2,Serena Williams 30.0 United States 12/8/2012 Tennis,serena williams united state tennis,0
Fernando González,24.0,Chile,2004,29/08/2004,Tennis,1,0,1,2,Fernando González 24.0 Chile 29/08/2004 Tennis,fernando gonz lez chile tennis,1
Nicolás Massú,26.0,Chile,2004,29/08/2004,Tennis,2,0,0,2,Nicolás Massú 26.0 Chile 29/08/2004 Tennis,nicol mass chile tennis,1
Venus Williams,20.0,United States,2000,1/10/2000,Tennis,2,0,0,2,Venus Williams 20.0 United States 1/10/2000 Tennis,venus williams united state tennis,0
Ona Carbonell,22.0,Spain,2012,12/8/2012,Synchronized Swimming,0,1,1,2,Ona Carbonell 22.0 Spain 12/8/2012 Synchronized Swimming,ona carbonell spain synchronized swimming,1
Andrea Fuentes,29.0,Spain,2012,12/8/2012,Synchronized Swimming,0,1,1,2,Andrea Fuentes 29.0 Spain 12/8/2012 Synchronized Swimming,andrea fuentes spain synchronized swimming,1
Huang Xuechen,22.0,China,2012,12/8/2012,Synchronized Swimming,0,1,1,2,Huang Xuechen 22.0 China 12/8/2012 Synchronized Swimming,huang xuechen china synchronized swimming,1
Nataliya Ishchenko,26.0,Russia,2012,12/8/2012,Synchronized Swimming,2,0,0,2,Nataliya Ishchenko 26.0 Russia 12/8/2012 Synchronized Swimming,nataliya ishchenko russia synchronized swimming,1
Liu Ou,25.0,China,2012,12/8/2012,Synchronized Swimming,0,1,1,2,Liu Ou 25.0 China 12/8/2012 Synchronized Swimming,liu china synchronized swimming,1
Svetlana Romashina,22.0,Russia,2012,12/8/2012,Synchronized Swimming,2,0,0,2,Svetlana Romashina 22.0 Russia 12/8/2012 Synchronized Swimming,svetlana romashina russia synchronized swimming,1
Anastasiya Davydova,25.0,Russia,2008,24/08/2008,Synchronized Swimming,2,0,0,2,Anastasiya Davydova 25.0 Russia 24/08/2008 Synchronized Swimming,anastasiya davydova russia synchronized swimming,1
Andrea Fuentes,25.0,Spain,2008,24/08/2008,Synchronized Swimming,0,2,0,2,Andrea Fuentes 25.0 Spain 24/08/2008 Synchronized Swimming,andrea fuentes spain synchronized swimming,1
Gemma Mengual,31.0,Spain,2008,24/08/2008,Synchronized Swimming,0,2,0,2,Gemma Mengual 31.0 Spain 24/08/2008 Synchronized Swimming,gemma mengual spain synchronized swimming,1
Anastasiya Yermakova,25.0,Russia,2008,24/08/2008,Synchronized Swimming,2,0,0,2,Anastasiya Yermakova 25.0 Russia 24/08/2008 Synchronized Swimming,anastasiya yermakova russia synchronized swimming,1
Alison Bartosik,21.0,United States,2004,29/08/2004,Synchronized Swimming,0,0,2,2,Alison Bartosik 21.0 United States 29/08/2004 Synchronized Swimming,alison bartosik united state synchronized swimming,0
Anastasiya Davydova,21.0,Russia,2004,29/08/2004,Synchronized Swimming,2,0,0,2,Anastasiya Davydova 21.0 Russia 29/08/2004 Synchronized Swimming,anastasiya davydova russia synchronized swimming,1
Anna Kozlova,31.0,United States,2004,29/08/2004,Synchronized Swimming,0,0,2,2,Anna Kozlova 31.0 United States 29/08/2004 Synchronized Swimming,anna kozlova united state synchronized swimming,0
Miya Tachibana,29.0,Japan,2004,29/08/2004,Synchronized Swimming,0,2,0,2,Miya Tachibana 29.0 Japan 29/08/2004 Synchronized Swimming,miya tachibana japan synchronized swimming,1
Miho Takeda,27.0,Japan,2004,29/08/2004,Synchronized Swimming,0,2,0,2,Miho Takeda 27.0 Japan 29/08/2004 Synchronized Swimming,miho takeda japan synchronized swimming,1
Anastasiya Yermakova,21.0,Russia,2004,29/08/2004,Synchronized Swimming,2,0,0,2,Anastasiya Yermakova 21.0 Russia 29/08/2004 Synchronized Swimming,anastasiya yermakova russia synchronized swimming,1
Olga Brusnikina,21.0,Russia,2000,1/10/2000,Synchronized Swimming,2,0,0,2,Olga Brusnikina 21.0 Russia 1/10/2000 Synchronized Swimming,olga brusnikina russia synchronized swimming,1
Mariya Kiselyova,25.0,Russia,2000,1/10/2000,Synchronized Swimming,2,0,0,2,Mariya Kiselyova 25.0 Russia 1/10/2000 Synchronized Swimming,mariya kiselyova russia synchronized swimming,1
Miya Tachibana,25.0,Japan,2000,1/10/2000,Synchronized Swimming,0,2,0,2,Miya Tachibana 25.0 Japan 1/10/2000 Synchronized Swimming,miya tachibana japan synchronized swimming,1
Miho Takeda,24.0,Japan,2000,1/10/2000,Synchronized Swimming,0,2,0,2,Miho Takeda 24.0 Japan 1/10/2000 Synchronized Swimming,miho takeda japan synchronized swimming,1
Becky Adlington,23.0,Great Britain,2012,12/8/2012,Swimming,0,0,2,2,Becky Adlington 23.0 Great Britain 12/8/2012 Swimming,becky adlington great britain swimming,1
Bronte Barratt,23.0,Australia,2012,12/8/2012,Swimming,0,1,1,2,Bronte Barratt 23.0 Australia 12/8/2012 Swimming,bronte barratt australia swimming,1
Elizabeth Beisel,19.0,United States,2012,12/8/2012,Swimming,0,1,1,2,Elizabeth Beisel 19.0 United States 12/8/2012 Swimming,elizabeth beisel united state swimming,0
Mireia Belmonte,21.0,Spain,2012,12/8/2012,Swimming,0,2,0,2,Mireia Belmonte 21.0 Spain 12/8/2012 Swimming,mireia belmonte spain swimming,1
Ricky Berens,24.0,United States,2012,12/8/2012,Swimming,1,1,0,2,Ricky Berens 24.0 United States 12/8/2012 Swimming,ricky berens united state swimming,0
Aleksandra Gerasimenya,26.0,Belarus,2012,12/8/2012,Swimming,0,2,0,2,Aleksandra Gerasimenya 26.0 Belarus 12/8/2012 Swimming,aleksandra gerasimenya belarus swimming,1
Brendan Hansen,30.0,United States,2012,12/8/2012,Swimming,1,0,1,2,Brendan Hansen 30.0 United States 12/8/2012 Swimming,brendan hansen united state swimming,0
Jessica Hardy,25.0,United States,2012,12/8/2012,Swimming,1,0,1,2,Jessica Hardy 25.0 United States 12/8/2012 Swimming,jessica hardy united state swimming,0
Chad le Clos,20.0,South Africa,2012,12/8/2012,Swimming,1,1,0,2,Chad le Clos 20.0 South Africa 12/8/2012 Swimming,chad clos south africa swimming,1
Clément Lefert,24.0,France,2012,12/8/2012,Swimming,1,1,0,2,Clément Lefert 24.0 France 12/8/2012 Swimming,ment lefert france swimming,1
Amaury Leveaux,26.0,France,2012,12/8/2012,Swimming,1,1,0,2,Amaury Leveaux 26.0 France 12/8/2012 Swimming,amaury leveaux france swimming,1
James Magnussen,21.0,Australia,2012,12/8/2012,Swimming,0,1,1,2,James Magnussen 21.0 Australia 12/8/2012 Swimming,james magnussen australia swimming,1
Takeshi Matsuda,28.0,Japan,2012,12/8/2012,Swimming,0,1,1,2,Takeshi Matsuda 28.0 Japan 12/8/2012 Swimming,takeshi matsuda japan swimming,1
Oussama Mellouli,28.0,Tunisia,2012,12/8/2012,Swimming,1,0,1,2,Oussama Mellouli 28.0 Tunisia 12/8/2012 Swimming,oussama mellouli tunisia swimming,1
Park Tae-Hwan,22.0,South Korea,2012,12/8/2012,Swimming,0,2,0,2,Park Tae-Hwan 22.0 South Korea 12/8/2012 Swimming,park tae hwan south korea swimming,1
Christian Sprenger,26.0,Australia,2012,12/8/2012,Swimming,0,1,1,2,Christian Sprenger 26.0 Australia 12/8/2012 Swimming,christian sprenger australia swimming,1
Jeremy Stravius,24.0,France,2012,12/8/2012,Swimming,1,1,0,2,Jeremy Stravius 24.0 France 12/8/2012 Swimming,jeremy stravius france swimming,1
Aya Terakawa,27.0,Japan,2012,12/8/2012,Swimming,0,0,2,2,Aya Terakawa 27.0 Japan 12/8/2012 Swimming,aya terakawa japan swimming,1
Nick Thoman,26.0,United States,2012,12/8/2012,Swimming,1,1,0,2,Nick Thoman 26.0 United States 12/8/2012 Swimming,nick thoman united state swimming,0
Marleen Veldhuis,33.0,Netherlands,2012,12/8/2012,Swimming,0,1,1,2,Marleen Veldhuis 33.0 Netherlands 12/8/2012 Swimming,marleen veldhuis netherlands swimming,1
Ye Shiwen,16.0,China,2012,12/8/2012,Swimming,2,0,0,2,Ye Shiwen 16.0 China 12/8/2012 Swimming,shiwen china swimming,1
Becky Adlington,19.0,Great Britain,2008,24/08/2008,Swimming,2,0,0,2,Becky Adlington 19.0 Great Britain 24/08/2008 Swimming,becky adlington great britain swimming,1
Leith Brodie,22.0,Australia,2008,24/08/2008,Swimming,0,0,2,2,Leith Brodie 22.0 Australia 24/08/2008 Swimming,leith brodie australia swimming,1
Cate Campbell,16.0,Australia,2008,24/08/2008,Swimming,0,0,2,2,Cate Campbell 16.0 Australia 24/08/2008 Swimming,cate campbell australia swimming,1
César Cielo Filho,21.0,Brazil,2008,24/08/2008,Swimming,1,0,1,2,César Cielo Filho 21.0 Brazil 24/08/2008 Swimming,sar cielo filho brazil swimming,2
Hugues Duboscq,26.0,France,2008,24/08/2008,Swimming,0,0,2,2,Hugues Duboscq 26.0 France 24/08/2008 Swimming,hugues duboscq france swimming,1
Felicity Galvez,23.0,Australia,2008,24/08/2008,Swimming,2,0,0,2,Felicity Galvez 23.0 Australia 24/08/2008 Swimming,felicity galvez australia swimming,1
Grant Hackett,28.0,Australia,2008,24/08/2008,Swimming,0,1,1,2,Grant Hackett 28.0 Australia 24/08/2008 Swimming,grant hackett australia swimming,1
Kara Lynn Joyce,22.0,United States,2008,24/08/2008,Swimming,0,2,0,2,Kara Lynn Joyce 22.0 United States 24/08/2008 Swimming,kara lynn joyce united state swimming,0
Amaury Leveaux,22.0,France,2008,24/08/2008,Swimming,0,2,0,2,Amaury Leveaux 22.0 France 24/08/2008 Swimming,amaury leveaux france swimming,1
Christine Magnuson,22.0,United States,2008,24/08/2008,Swimming,0,2,0,2,Christine Magnuson 22.0 United States 24/08/2008 Swimming,christine magnuson united state swimming,0
Patrick Murphy,24.0,Australia,2008,24/08/2008,Swimming,0,0,2,2,Patrick Murphy 24.0 Australia 24/08/2008 Swimming,patrick murphy australia swimming,1
Park Tae-Hwan,18.0,South Korea,2008,24/08/2008,Swimming,1,1,0,2,Park Tae-Hwan 18.0 South Korea 24/08/2008 Swimming,park tae hwan south korea swimming,1
Shayne Reese,25.0,Australia,2008,24/08/2008,Swimming,1,0,1,2,Shayne Reese 25.0 Australia 24/08/2008 Swimming,shayne reese australia swimming,1
Brenton Rickard,24.0,Australia,2008,24/08/2008,Swimming,0,2,0,2,Brenton Rickard 24.0 Australia 24/08/2008 Swimming,brenton rickard australia swimming,1
Mel Schlanger,21.0,Australia,2008,24/08/2008,Swimming,1,0,1,2,Mel Schlanger 21.0 Australia 24/08/2008 Swimming,mel schlanger australia swimming,1
Julia Smit,20.0,United States,2008,24/08/2008,Swimming,0,1,1,2,Julia Smit 20.0 United States 24/08/2008 Swimming,julia smit united state swimming,0
Britta Steffen,24.0,Germany,2008,24/08/2008,Swimming,2,0,0,2,Britta Steffen 24.0 Germany 24/08/2008 Swimming,britta steffen germany swimming,1
Hayden Stoeckel,24.0,Australia,2008,24/08/2008,Swimming,0,1,1,2,Hayden Stoeckel 24.0 Australia 24/08/2008 Swimming,hayden stoeckel australia swimming,1
Matt Targett,22.0,Australia,2008,24/08/2008,Swimming,0,1,1,2,Matt Targett 22.0 Australia 24/08/2008 Swimming,matt targett australia swimming,1
Peter Vanderkaay,24.0,United States,2008,24/08/2008,Swimming,1,0,1,2,Peter Vanderkaay 24.0 United States 24/08/2008 Swimming,peter vanderkaay united state swimming,0
Arkady Vyachanin,24.0,Russia,2008,24/08/2008,Swimming,0,0,2,2,Arkady Vyachanin 24.0 Russia 24/08/2008 Swimming,arkady vyachanin russia swimming,1
Garrett Weber-Gale,23.0,United States,2008,24/08/2008,Swimming,2,0,0,2,Garrett Weber-Gale 23.0 United States 24/08/2008 Swimming,garrett weber gale united state swimming,0
Lindsay Benko,27.0,United States,2004,29/08/2004,Swimming,1,1,0,2,Lindsay Benko 27.0 United States 29/08/2004 Swimming,lindsay benko united state swimming,0
Gary Hall Jr.,29.0,United States,2004,29/08/2004,Swimming,1,0,1,2,Gary Hall Jr. 29.0 United States 29/08/2004 Swimming,gary hall united state swimming,0
Brooke Hanson,26.0,Australia,2004,29/08/2004,Swimming,1,1,0,2,Brooke Hanson 26.0 Australia 29/08/2004 Swimming,brooke hanson australia swimming,1
Kara Lynn Joyce,18.0,United States,2004,29/08/2004,Swimming,0,2,0,2,Kara Lynn Joyce 18.0 United States 29/08/2004 Swimming,kara lynn joyce united state swimming,0
Klete Keller,22.0,United States,2004,29/08/2004,Swimming,1,0,1,2,Klete Keller 22.0 United States 29/08/2004 Swimming,klete keller united state swimming,0
Yana Klochkova,22.0,Ukraine,2004,29/08/2004,Swimming,2,0,0,2,Yana Klochkova 22.0 Ukraine 29/08/2004 Swimming,yana klochkova ukraine swimming,1
Rachel Komisarz,27.0,United States,2004,29/08/2004,Swimming,1,1,0,2,Rachel Komisarz 27.0 United States 29/08/2004 Swimming,rachel komisarz united state swimming,0
Libby Lenton-Trickett,19.0,Australia,2004,29/08/2004,Swimming,1,0,1,2,Libby Lenton-Trickett 19.0 Australia 29/08/2004 Swimming,libby lenton trickett australia swimming,1
Jason Lezak,28.0,United States,2004,29/08/2004,Swimming,1,0,1,2,Jason Lezak 28.0 United States 29/08/2004 Swimming,jason lezak united state swimming,0
Ryan Lochte,20.0,United States,2004,29/08/2004,Swimming,1,1,0,2,Ryan Lochte 20.0 United States 29/08/2004 Swimming,ryan lochte united state swimming,0
Alice Mills,18.0,Australia,2004,29/08/2004,Swimming,2,0,0,2,Alice Mills 18.0 Australia 29/08/2004 Swimming,alice mill australia swimming,1
Tomomi Morita,19.0,Japan,2004,29/08/2004,Swimming,0,0,2,2,Tomomi Morita 19.0 Japan 29/08/2004 Swimming,tomomi morita japan swimming,1
Markus Rogan,22.0,Austria,2004,29/08/2004,Swimming,0,2,0,2,Markus Rogan 22.0 Austria 29/08/2004 Swimming,markus rogan austria swimming,1
Jenny Thompson,31.0,United States,2004,29/08/2004,Swimming,0,2,0,2,Jenny Thompson 31.0 United States 29/08/2004 Swimming,jenny thompson united state swimming,0
Franziska van Almsick,26.0,Germany,2004,29/08/2004,Swimming,0,0,2,2,Franziska van Almsick 26.0 Germany 29/08/2004 Swimming,franziska van almsick germany swimming,1
Neil Walker,28.0,United States,2004,29/08/2004,Swimming,1,0,1,2,Neil Walker 28.0 United States 29/08/2004 Swimming,neil walker united state swimming,0
Amanda Weir,18.0,United States,2004,29/08/2004,Swimming,0,2,0,2,Amanda Weir 18.0 United States 29/08/2004 Swimming,amanda weir united state swimming,0
Takashi Yamamoto,26.0,Japan,2004,29/08/2004,Swimming,0,1,1,2,Takashi Yamamoto 26.0 Japan 29/08/2004 Swimming,takashi yamamoto japan swimming,1
Brooke Bennett,20.0,United States,2000,1/10/2000,Swimming,2,0,0,2,Brooke Bennett 20.0 United States 1/10/2000 Swimming,brooke bennett united state swimming,0
Beatrice Coada-Caslaru,25.0,Romania,2000,1/10/2000,Swimming,0,1,1,2,Beatrice Coada-Caslaru 25.0 Romania 1/10/2000 Swimming,beatrice coada caslaru romania swimming,1
Josh Davis,28.0,United States,2000,1/10/2000,Swimming,0,2,0,2,Josh Davis 28.0 United States 1/10/2000 Swimming,josh davis united state swimming,0
Tom Dolan,25.0,United States,2000,1/10/2000,Swimming,1,1,0,2,Tom Dolan 25.0 United States 1/10/2000 Swimming,tom dolan united state swimming,0
Anthony Ervin,19.0,United States,2000,1/10/2000,Swimming,1,1,0,2,Anthony Ervin 19.0 United States 1/10/2000 Swimming,anthony ervin united state swimming,0
Domenico Fioravanti,23.0,Italy,2000,1/10/2000,Swimming,2,0,0,2,Domenico Fioravanti 23.0 Italy 1/10/2000 Swimming,domenico fioravanti italy swimming,1
Grant Hackett,20.0,Australia,2000,1/10/2000,Swimming,2,0,0,2,Grant Hackett 20.0 Australia 1/10/2000 Swimming,grant hackett australia swimming,1
Geoff Huegill,21.0,Australia,2000,1/10/2000,Swimming,0,1,1,2,Geoff Huegill 21.0 Australia 1/10/2000 Swimming,geoff huegill australia swimming,1
Leisel Jones,15.0,Australia,2000,1/10/2000,Swimming,0,2,0,2,Leisel Jones 15.0 Australia 1/10/2000 Swimming,leisel jones australia swimming,1
Klete Keller,18.0,United States,2000,1/10/2000,Swimming,0,1,1,2,Klete Keller 18.0 United States 1/10/2000 Swimming,klete keller united state swimming,0
Jason Lezak,24.0,United States,2000,1/10/2000,Swimming,1,1,0,2,Jason Lezak 24.0 United States 1/10/2000 Swimming,jason lezak united state swimming,0
Diana Mocanu,16.0,Romania,2000,1/10/2000,Swimming,2,0,0,2,Diana Mocanu 16.0 Romania 1/10/2000 Swimming,diana mocanu romania swimming,1
Martina Moravcová,24.0,Slovakia,2000,1/10/2000,Swimming,0,2,0,2,Martina Moravcová 24.0 Slovakia 1/10/2000 Swimming,martina moravcov slovakia swimming,1
Ed Moses,20.0,United States,2000,1/10/2000,Swimming,1,1,0,2,Ed Moses 20.0 United States 1/10/2000 Swimming,moses united state swimming,0
Diana Munz,18.0,United States,2000,1/10/2000,Swimming,1,1,0,2,Diana Munz 18.0 United States 1/10/2000 Swimming,diana munz united state swimming,0
Mai Nakamura,21.0,Japan,2000,1/10/2000,Swimming,0,1,1,2,Mai Nakamura 21.0 Japan 1/10/2000 Swimming,mai nakamura japan swimming,1
Todd Pearson,22.0,Australia,2000,1/10/2000,Swimming,2,0,0,2,Todd Pearson 22.0 Australia 1/10/2000 Swimming,todd pearson australia swimming,1
Adam Pine,24.0,Australia,2000,1/10/2000,Swimming,1,1,0,2,Adam Pine 24.0 Australia 1/10/2000 Swimming,adam pine australia swimming,1
Claudia Poll,27.0,Costa Rica,2000,1/10/2000,Swimming,0,0,2,2,Claudia Poll 27.0 Costa Rica 1/10/2000 Swimming,claudia poll costa rica swimming,1
Megan Quann-Jendrick,16.0,United States,2000,1/10/2000,Swimming,2,0,0,2,Megan Quann-Jendrick 16.0 United States 1/10/2000 Swimming,megan quann jendrick united state swimming,0
Giaan Rooney,17.0,Australia,2000,1/10/2000,Swimming,0,2,0,2,Giaan Rooney 17.0 Australia 1/10/2000 Swimming,giaan rooney australia swimming,1
Courtney Shealy,22.0,United States,2000,1/10/2000,Swimming,2,0,0,2,Courtney Shealy 22.0 United States 1/10/2000 Swimming,courtney shealy united state swimming,0
Ashley Tappin,25.0,United States,2000,1/10/2000,Swimming,2,0,0,2,Ashley Tappin 25.0 United States 1/10/2000 Swimming,ashley tappin united state swimming,0
Stev Theloke,22.0,Germany,2000,1/10/2000,Swimming,0,0,2,2,Stev Theloke 22.0 Germany 1/10/2000 Swimming,stev theloke germany swimming,1
Amy Van Dyken,27.0,United States,2000,1/10/2000,Swimming,2,0,0,2,Amy Van Dyken 27.0 United States 1/10/2000 Swimming,amy van dyken united state swimming,0
Neil Walker,24.0,United States,2000,1/10/2000,Swimming,1,1,0,2,Neil Walker 24.0 United States 1/10/2000 Swimming,neil walker united state swimming,0
J. R. Celski,19.0,United States,2010,28/02/2010,Short-Track Speed Skating,0,0,2,2,J. R. Celski 19.0 United States 28/02/2010 Short-Track Speed Skating,celski united state short track speed skating,0
Charles Hamelin,25.0,Canada,2010,28/02/2010,Short-Track Speed Skating,2,0,0,2,Charles Hamelin 25.0 Canada 28/02/2010 Short-Track Speed Skating,charles hamelin canada short track speed skating,1
Lee Ho-Seok,23.0,South Korea,2010,28/02/2010,Short-Track Speed Skating,0,2,0,2,Lee Ho-Seok 23.0 South Korea 28/02/2010 Short-Track Speed Skating,lee seok south korea short track speed skating,1
Park Seung-Hui,17.0,South Korea,2010,28/02/2010,Short-Track Speed Skating,0,0,2,2,Park Seung-Hui 17.0 South Korea 28/02/2010 Short-Track Speed Skating,park seung hui south korea short track speed skating,1
Katherine Reutter,21.0,United States,2010,28/02/2010,Short-Track Speed Skating,0,1,1,2,Katherine Reutter 21.0 United States 28/02/2010 Short-Track Speed Skating,katherine reutter united state short track speed skating,0
Seong Si-Baek,22.0,South Korea,2010,28/02/2010,Short-Track Speed Skating,0,2,0,2,Seong Si-Baek 22.0 South Korea 28/02/2010 Short-Track Speed Skating,seong baek south korea short track speed skating,1
