athlete,age,country,year,date,sport,gold,silver,bronze,total,combined_text,clean_text,cluster
Matt Welsh,23.0,Australia,2000,1/10/2000,Swimming,0,2,1,3,Matt Welsh 23.0 Australia 1/10/2000 Swimming,matt welsh australia swimming,1
Lee Jeong-Su,20.0,South Korea,2010,28/02/2010,Short-Track Speed Skating,2,1,0,3,Lee Jeong-Su 20.0 South Korea 28/02/2010 Short-Track Speed Skating,lee jeong south korea short track speed skating,1
Apolo Anton Ohno,27.0,United States,2010,28/02/2010,Short-Track Speed Skating,0,1,2,3,Apolo Anton Ohno 27.0 United States 28/02/2010 Short-Track Speed Skating,apolo anton ohno united state short track speed skating,0
Wang Meng,24.0,China,2010,28/02/2010,Short-Track Speed Skating,3,0,0,3,Wang Meng 24.0 China 28/02/2010 Short-Track Speed Skating,wang meng china short track speed skating,1
Jin Seon-Yu,17.0,South Korea,2006,26/02/2006,Short-Track Speed Skating,3,0,0,3,Jin Seon-Yu 17.0 South Korea 26/02/2006 Short-Track Speed Skating,jin seon south korea short track speed skating,1
Lee Ho-Seok,19.0,South Korea,2006,26/02/2006,Short-Track Speed Skating,1,2,0,3,Lee Ho-Seok 19.0 South Korea 26/02/2006 Short-Track Speed Skating,lee seok south korea short track speed skating,1
Apolo Anton Ohno,23.0,United States,2006,26/02/2006,Short-Track Speed Skating,1,0,2,3,Apolo Anton Ohno 23.0 United States 26/02/2006 Short-Track Speed Skating,apolo anton ohno united state short track speed skating,0
Wang Meng,20.0,China,2006,26/02/2006,Short-Track Speed Skating,1,1,1,3,Wang Meng 20.0 China 26/02/2006 Short-Track Speed Skating,wang meng china short track speed skating,1
Marc Gagnon,26.0,Canada,2002,24/02/2002,Short-Track Speed Skating,2,0,1,3,Marc Gagnon 26.0 Canada 24/02/2002 Short-Track Speed Skating,marc gagnon canada short track speed skating,1
Yang Yang (A),25.0,China,2002,24/02/2002,Short-Track Speed Skating,2,1,0,3,Yang Yang (A) 25.0 China 24/02/2002 Short-Track Speed Skating,yang yang china short track speed skating,1
Stephanie Beckert,21.0,Germany,2010,28/02/2010,Speed Skating,1,2,0,3,Stephanie Beckert 21.0 Germany 28/02/2010 Speed Skating,stephanie beckert germany speed skating,1
Martina Sáblíková,22.0,Czech Republic,2010,28/02/2010,Speed Skating,2,0,1,3,Martina Sáblíková 22.0 Czech Republic 28/02/2010 Speed Skating,martina kov czech republic speed skating,1
Enrico Fabris,24.0,Italy,2006,26/02/2006,Speed Skating,2,0,1,3,Enrico Fabris 24.0 Italy 26/02/2006 Speed Skating,enrico fabris italy speed skating,1
Chad Hedrick,28.0,United States,2006,26/02/2006,Speed Skating,1,1,1,3,Chad Hedrick 28.0 United States 26/02/2006 Speed Skating,chad hedrick united state speed skating,0
Jochem Uytdehaage,25.0,Netherlands,2002,24/02/2002,Speed Skating,2,1,0,3,Jochem Uytdehaage 25.0 Netherlands 24/02/2002 Speed Skating,jochem uytdehaage netherlands speed skating,1
Sabine Völker,28.0,Germany,2002,24/02/2002,Speed Skating,0,2,1,3,Sabine Völker 28.0 Germany 24/02/2002 Speed Skating,sabine lker germany speed skating,1
Gregor Schlierenzauer,20.0,Austria,2010,28/02/2010,Ski Jumping,1,0,2,3,Gregor Schlierenzauer 20.0 Austria 28/02/2010 Ski Jumping,gregor schlierenzauer austria ski jumping,1
Lars Bystøl,27.0,Norway,2006,26/02/2006,Ski Jumping,1,0,2,3,Lars Bystøl 27.0 Norway 26/02/2006 Ski Jumping,lars byst norway ski jumping,1
Johnny Spillane,29.0,United States,2010,28/02/2010,Nordic Combined,0,3,0,3,Johnny Spillane 29.0 United States 28/02/2010 Nordic Combined,johnny spillane united state nordic combined,0
Felix Gottwald,30.0,Austria,2006,26/02/2006,Nordic Combined,2,1,0,3,Felix Gottwald 30.0 Austria 26/02/2006 Nordic Combined,felix gottwald austria nordic combined,1
Georg Hettich,27.0,Germany,2006,26/02/2006,Nordic Combined,1,1,1,3,Georg Hettich 27.0 Germany 26/02/2006 Nordic Combined,georg hettich germany nordic combined,1
Felix Gottwald,26.0,Austria,2002,24/02/2002,Nordic Combined,0,0,3,3,Felix Gottwald 26.0 Austria 24/02/2002 Nordic Combined,felix gottwald austria nordic combined,1
Samppa Lajunen,22.0,Finland,2002,24/02/2002,Nordic Combined,3,0,0,3,Samppa Lajunen 22.0 Finland 24/02/2002 Nordic Combined,samppa lajunen finland nordic combined,1
Aly Raisman,18.0,United States,2012,12/8/2012,Gymnastics,2,0,1,3,Aly Raisman 18.0 United States 12/8/2012 Gymnastics,aly raisman united state gymnastics,0
Kohei Uchimura,23.0,Japan,2012,12/8/2012,Gymnastics,1,2,0,3,Kohei Uchimura 23.0 Japan 12/8/2012 Gymnastics,kohei uchimura japan gymnastics,1
Zou Kai,24.0,China,2012,12/8/2012,Gymnastics,2,0,1,3,Zou Kai 24.0 China 12/8/2012 Gymnastics,zou kai china gymnastics,1
Cheng Fei,20.0,China,2008,24/08/2008,Gymnastics,1,0,2,3,Cheng Fei 20.0 China 24/08/2008 Gymnastics,cheng fei china gymnastics,1
Yang Wei,28.0,China,2008,24/08/2008,Gymnastics,2,1,0,3,Yang Wei 28.0 China 24/08/2008 Gymnastics,yang wei china gymnastics,1
Yang Yilin,15.0,China,2008,24/08/2008,Gymnastics,1,0,2,3,Yang Yilin 15.0 China 24/08/2008 Gymnastics,yang yilin china gymnastics,1
Zou Kai,20.0,China,2008,24/08/2008,Gymnastics,3,0,0,3,Zou Kai 20.0 China 24/08/2008 Gymnastics,zou kai china gymnastics,1
Marian Dragulescu,23.0,Romania,2004,29/08/2004,Gymnastics,0,1,2,3,Marian Dragulescu 23.0 Romania 29/08/2004 Gymnastics,marian dragulescu romania gymnastics,1
Paul Hamm,21.0,United States,2004,29/08/2004,Gymnastics,1,2,0,3,Paul Hamm 21.0 United States 29/08/2004 Gymnastics,paul hamm united state gymnastics,0
Carly Patterson,16.0,United States,2004,29/08/2004,Gymnastics,1,2,0,3,Carly Patterson 16.0 United States 29/08/2004 Gymnastics,carly patterson united state gymnastics,0
Catalina Ponor,16.0,Romania,2004,29/08/2004,Gymnastics,3,0,0,3,Catalina Ponor 16.0 Romania 29/08/2004 Gymnastics,catalina ponor romania gymnastics,1
Simona Amânar,20.0,Romania,2000,1/10/2000,Gymnastics,2,0,1,3,Simona Amânar 20.0 Romania 1/10/2000 Gymnastics,simona nar romania gymnastics,1
Svetlana Khorkina,21.0,Russia,2000,1/10/2000,Gymnastics,1,2,0,3,Svetlana Khorkina 21.0 Russia 1/10/2000 Gymnastics,svetlana khorkina russia gymnastics,1
Yekaterina Lobaznyuk,17.0,Russia,2000,1/10/2000,Gymnastics,0,2,1,3,Yekaterina Lobaznyuk 17.0 Russia 1/10/2000 Gymnastics,yekaterina lobaznyuk russia gymnastics,1
Yelena Zamolodchikova,17.0,Russia,2000,1/10/2000,Gymnastics,2,1,0,3,Yelena Zamolodchikova 17.0 Russia 1/10/2000 Gymnastics,yelena zamolodchikova russia gymnastics,1
Guo Shuang,26.0,China,2012,12/8/2012,Cycling,0,2,1,3,Guo Shuang 26.0 China 12/8/2012 Cycling,guo shuang china cycling,1
Chris Hoy,32.0,Great Britain,2008,24/08/2008,Cycling,3,0,0,3,Chris Hoy 32.0 Great Britain 24/08/2008 Cycling,chris hoy great britain cycling,1
Bradley Wiggins,24.0,Great Britain,2004,29/08/2004,Cycling,1,1,1,3,Bradley Wiggins 24.0 Great Britain 29/08/2004 Cycling,bradley wiggins great britain cycling,1
Florian Rousseau,26.0,France,2000,1/10/2000,Cycling,2,1,0,3,Florian Rousseau 26.0 France 1/10/2000 Cycling,florian rousseau france cycling,1
Justyna Kowalczyk,27.0,Poland,2010,28/02/2010,Cross Country Skiing,1,1,1,3,Justyna Kowalczyk 27.0 Poland 28/02/2010 Cross Country Skiing,justyna kowalczyk poland cross country skiing,1
Johan Olsson,29.0,Sweden,2010,28/02/2010,Cross Country Skiing,1,0,2,3,Johan Olsson 29.0 Sweden 28/02/2010 Cross Country Skiing,johan olsson sweden cross country skiing,1
Stefania Belmondo,33.0,Italy,2002,24/02/2002,Cross Country Skiing,1,1,1,3,Stefania Belmondo 33.0 Italy 24/02/2002 Cross Country Skiing,stefania belmondo italy cross country skiing,1
Yuliya Chepalova,25.0,Russia,2002,24/02/2002,Cross Country Skiing,1,1,1,3,Yuliya Chepalova 25.0 Russia 24/02/2002 Cross Country Skiing,yuliya chepalova russia cross country skiing,1
Frode Estil,29.0,Norway,2002,24/02/2002,Cross Country Skiing,2,1,0,3,Frode Estil 29.0 Norway 24/02/2002 Cross Country Skiing,frode estil norway cross country skiing,1
Bente Skari-Martinsen,29.0,Norway,2002,24/02/2002,Cross Country Skiing,1,1,1,3,Bente Skari-Martinsen 29.0 Norway 24/02/2002 Cross Country Skiing,bente skari martinsen norway cross country skiing,1
Magdalena Neuner,23.0,Germany,2010,28/02/2010,Biathlon,2,1,0,3,Magdalena Neuner 23.0 Germany 28/02/2010 Biathlon,magdalena neuner germany biathlon,1
Emil Hegle Svendsen,24.0,Norway,2010,28/02/2010,Biathlon,2,1,0,3,Emil Hegle Svendsen 24.0 Norway 28/02/2010 Biathlon,emil hegle svendsen norway biathlon,1
Albina Akhatova,29.0,Russia,2006,26/02/2006,Biathlon,1,0,2,3,Albina Akhatova 29.0 Russia 26/02/2006 Biathlon,albina akhatova russia biathlon,1
Ole Einar Bjørndalen,32.0,Norway,2006,26/02/2006,Biathlon,0,2,1,3,Ole Einar Bjørndalen 32.0 Norway 26/02/2006 Biathlon,ole einar rndalen norway biathlon,1
Sven Fischer,34.0,Germany,2006,26/02/2006,Biathlon,2,0,1,3,Sven Fischer 34.0 Germany 26/02/2006 Biathlon,sven fischer germany biathlon,1
Martina Glagow-Beck,26.0,Germany,2006,26/02/2006,Biathlon,0,3,0,3,Martina Glagow-Beck 26.0 Germany 26/02/2006 Biathlon,martina glagow beck germany biathlon,1
Michael Greis,29.0,Germany,2006,26/02/2006,Biathlon,3,0,0,3,Michael Greis 29.0 Germany 26/02/2006 Biathlon,michael greis germany biathlon,1
Kati Wilhelm,29.0,Germany,2006,26/02/2006,Biathlon,1,2,0,3,Kati Wilhelm 29.0 Germany 26/02/2006 Biathlon,kati wilhelm germany biathlon,1
Kati Wilhelm,25.0,Germany,2002,24/02/2002,Biathlon,2,1,0,3,Kati Wilhelm 25.0 Germany 24/02/2002 Biathlon,kati wilhelm germany biathlon,1
Yohan Blake,22.0,Jamaica,2012,12/8/2012,Athletics,1,2,0,3,Yohan Blake 22.0 Jamaica 12/8/2012 Athletics,yohan blake jamaica athletics,1
Usain Bolt,25.0,Jamaica,2012,12/8/2012,Athletics,3,0,0,3,Usain Bolt 25.0 Jamaica 12/8/2012 Athletics,usain bolt jamaica athletics,1
Allyson Felix,26.0,United States,2012,12/8/2012,Athletics,3,0,0,3,Allyson Felix 26.0 United States 12/8/2012 Athletics,allyson felix united state athletics,0
Shelly-Ann Fraser-Pryce,25.0,Jamaica,2012,12/8/2012,Athletics,1,2,0,3,Shelly-Ann Fraser-Pryce 25.0 Jamaica 12/8/2012 Athletics,shelly ann fraser pryce jamaica athletics,1
Carmelita Jeter,32.0,United States,2012,12/8/2012,Athletics,1,1,1,3,Carmelita Jeter 32.0 United States 12/8/2012 Athletics,carmelita jeter united state athletics,0
Usain Bolt,21.0,Jamaica,2008,24/08/2008,Athletics,3,0,0,3,Usain Bolt 21.0 Jamaica 24/08/2008 Athletics,usain bolt jamaica athletics,1
Veronica Campbell-Brown,22.0,Jamaica,2004,29/08/2004,Athletics,2,0,1,3,Veronica Campbell-Brown 22.0 Jamaica 29/08/2004 Athletics,veronica campbell brown jamaica athletics,1
Justin Gatlin,22.0,United States,2004,29/08/2004,Athletics,1,1,1,3,Justin Gatlin 22.0 United States 29/08/2004 Athletics,justin gatlin united state athletics,0
Bode Miller,32.0,United States,2010,28/02/2010,Alpine Skiing,1,1,1,3,Bode Miller 32.0 United States 28/02/2010 Alpine Skiing,bode miller united state alpine skiing,0
Aksel Lund Svindal,27.0,Norway,2010,28/02/2010,Alpine Skiing,1,1,1,3,Aksel Lund Svindal 27.0 Norway 28/02/2010 Alpine Skiing,aksel lund svindal norway alpine skiing,1
Anja Pärson,24.0,Sweden,2006,26/02/2006,Alpine Skiing,1,0,2,3,Anja Pärson 24.0 Sweden 26/02/2006 Alpine Skiing,anja rson sweden alpine skiing,1
Stephan Eberharter,32.0,Austria,2002,24/02/2002,Alpine Skiing,1,1,1,3,Stephan Eberharter 32.0 Austria 24/02/2002 Alpine Skiing,stephan eberharter austria alpine skiing,1
Ding Ning,22.0,China,2012,12/8/2012,Table Tennis,1,1,0,2,Ding Ning 22.0 China 12/8/2012 Table Tennis,ding ning china table tennis,1
